"행정구역","2008년_총인구수","2008년_세대수","2008년_세대당 인구","2009년_총인구수","2009년_세대수","2009년_세대당 인구","2010년_총인구수","2010년_세대수","2010년_세대당 인구"
"서울특별시  (1100000000)","10,200,827","4,097,562","          2.49","10,208,302","4,116,660","          2.48","10,312,545","4,224,181","          2.44"
"서울특별시 종로구 (1111000000)","170,705","74,660","          2.29","168,603","74,315","          2.27","170,578","77,621","          2.20"
"서울특별시 종로구 청운효자동(1111051500)","16,414","6,372","          2.58","15,769","6,105","          2.58","15,688","6,236","          2.52"
"서울특별시 종로구 사직동(1111053000)","9,943","4,400","          2.26","10,029","4,476","          2.24","10,203","4,699","          2.17"
"서울특별시 종로구 삼청동(1111054000)","3,671","1,684","          2.18","3,548","1,630","          2.18","3,517","1,659","          2.12"
"서울특별시 종로구 부암동(1111055000)","11,588","4,607","          2.52","11,330","4,508","          2.51","11,406","4,630","          2.46"
"서울특별시 종로구 평창동(1111056000)","19,353","7,068","          2.74","19,384","7,057","          2.75","19,566","7,342","          2.66"
"서울특별시 종로구 무악동(1111057000)","8,607","3,161","          2.72","8,615","3,179","          2.71","8,663","3,293","          2.63"
"서울특별시 종로구 교남동(1111058000)","9,163","4,394","          2.09","8,936","4,268","          2.09","9,140","4,459","          2.05"
"서울특별시 종로구 가회동(1111060000)","5,850","2,510","          2.33","5,749","2,458","          2.34","5,709","2,535","          2.25"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,242","4,437","          1.63","7,306","4,576","          1.60","8,010","5,289","          1.51"
"서울특별시 종로구 종로5.6가동(1111063000)","6,481","3,014","          2.15","6,287","3,017","          2.08","6,302","3,147","          2.00"
"서울특별시 종로구 이화동(1111064000)","9,585","4,539","          2.11","9,296","4,448","          2.09","9,358","4,552","          2.06"
"서울특별시 종로구 혜화동(1111065000)","12,343","5,609","          2.20","12,136","5,574","          2.18","12,112","5,785","          2.09"
"서울특별시 종로구 명륜3가동(1111066000)","6,741","3,748","          1.80","6,467","3,618","          1.79","6,336","3,556","          1.78"
"서울특별시 종로구 창신제1동(1111067000)","7,060","3,501","          2.02","6,915","3,465","          2.00","7,113","3,760","          1.89"
"서울특별시 종로구 창신제2동(1111068000)","11,926","5,111","          2.33","11,651","5,051","          2.31","11,811","5,239","          2.25"
"서울특별시 종로구 창신제3동(1111069000)","8,654","3,160","          2.74","8,601","3,158","          2.72","8,700","3,233","          2.69"
"서울특별시 종로구 숭인제1동(1111070000)","7,352","3,098","          2.37","7,482","3,170","          2.36","7,594","3,327","          2.28"
"서울특별시 종로구 숭인제2동(1111071000)","8,732","4,247","          2.06","9,102","4,557","          2.00","9,350","4,880","          1.92"
"서울특별시 중구 (1114000000)","130,362","58,174","          2.24","129,465","58,249","          2.22","132,822","61,468","          2.16"
"서울특별시 중구 소공동(1114052000)","1,067","556","          1.92","1,095","578","          1.89","1,257","677","          1.86"
"서울특별시 중구 회현동(1114054000)","4,496","2,647","          1.70","4,429","2,671","          1.66","5,537","3,419","          1.62"
"서울특별시 중구 명동(1114055000)","2,801","1,324","          2.12","2,892","1,409","          2.05","3,445","1,727","          1.99"
"서울특별시 중구 필동(1114057000)","4,636","2,292","          2.02","4,551","2,310","          1.97","4,675","2,396","          1.95"
"서울특별시 중구 장충동(1114058000)","5,793","2,929","          1.98","5,742","2,945","          1.95","5,675","2,972","          1.91"
"서울특별시 중구 광희동(1114059000)","5,019","2,716","          1.85","5,165","2,782","          1.86","5,758","3,160","          1.82"
"서울특별시 중구 을지로동(1114060500)","1,824","1,199","          1.52","1,906","1,270","          1.50","2,009","1,398","          1.44"
"서울특별시 중구 신당제1동(1114061000)","8,372","4,023","          2.08","8,408","4,106","          2.05","8,403","4,243","          1.98"
"서울특별시 중구 신당제2동(1114062000)","16,992","7,237","          2.35","16,964","7,304","          2.32","16,823","7,414","          2.27"
"서울특별시 중구 신당제3동(1114063000)","20,043","8,147","          2.46","19,655","7,960","          2.47","19,676","8,056","          2.44"
"서울특별시 중구 신당제4동(1114064000)","16,426","6,489","          2.53","16,418","6,558","          2.50","16,211","6,648","          2.44"
"서울특별시 중구 신당제5동(1114065000)","8,456","3,822","          2.21","8,132","3,684","          2.21","8,221","3,841","          2.14"
"서울특별시 중구 신당제6동(1114066000)","10,151","3,917","          2.59","9,666","3,653","          2.65","9,686","3,732","          2.60"
"서울특별시 중구 황학동(1114067000)","11,454","5,287","          2.17","11,864","5,502","          2.16","12,705","5,984","          2.12"
"서울특별시 중구 중림동(1114068000)","12,832","5,589","          2.30","12,578","5,517","          2.28","12,741","5,801","          2.20"
"서울특별시 용산구 (1117000000)","238,224","106,966","          2.23","238,708","107,456","          2.22","244,853","113,204","          2.16"
"서울특별시 용산구 후암동(1117051000)","20,210","8,922","          2.27","19,934","8,783","          2.27","20,355","9,266","          2.20"
"서울특별시 용산구 용산2가동(1117052000)","13,233","5,939","          2.23","13,133","6,018","          2.18","13,355","6,277","          2.13"
"서울특별시 용산구 남영동(1117053000)","7,456","4,546","          1.64","7,474","4,619","          1.62","7,947","5,163","          1.54"
"서울특별시 용산구 청파동(1117055500)","23,476","11,293","          2.08","23,798","11,539","          2.06","24,011","11,953","          2.01"
"서울특별시 용산구 원효로제1동(1117056000)","10,209","4,639","          2.20","10,188","4,638","          2.20","10,979","5,149","          2.13"
"서울특별시 용산구 원효로제2동(1117057000)","16,266","6,232","          2.61","16,063","6,150","          2.61","16,222","6,314","          2.57"
"서울특별시 용산구 효창동(1117058000)","10,680","4,197","          2.54","10,666","4,195","          2.54","11,386","4,541","          2.51"
"서울특별시 용산구 용문동(1117059000)","12,656","4,770","          2.65","12,846","4,803","          2.67","13,433","5,260","          2.55"
"서울특별시 용산구 한강로동(1117062500)","14,550","7,333","          1.98","15,536","7,703","          2.02","16,021","8,186","          1.96"
"서울특별시 용산구 이촌제1동(1117063000)","27,035","9,865","          2.74","27,209","9,932","          2.74","27,385","10,227","          2.68"
"서울특별시 용산구 이촌제2동(1117064000)","10,555","4,417","          2.39","10,442","4,361","          2.39","10,609","4,460","          2.38"
"서울특별시 용산구 이태원제1동(1117065000)","8,407","4,277","          1.97","8,184","4,124","          1.98","8,739","4,623","          1.89"
"서울특별시 용산구 이태원제2동(1117066000)","11,267","5,208","          2.16","11,080","5,183","          2.14","11,441","5,494","          2.08"
"서울특별시 용산구 한남동(1117068500)","22,212","11,515","          1.93","22,398","11,710","          1.91","23,030","12,262","          1.88"
"서울특별시 용산구 서빙고동(1117069000)","11,389","4,833","          2.36","11,349","4,829","          2.35","11,479","4,973","          2.31"
"서울특별시 용산구 보광동(1117070000)","18,623","8,980","          2.07","18,408","8,869","          2.08","18,461","9,056","          2.04"
"서울특별시 성동구 (1120000000)","314,212","128,658","          2.44","308,058","126,670","          2.43","309,093","129,644","          2.38"
"서울특별시 성동구 왕십리제2동(1120052000)","18,993","7,447","          2.55","19,152","7,522","          2.55","18,943","7,711","          2.46"
"서울특별시 성동구 왕십리도선동(1120053500)","14,959","6,436","          2.32","12,998","5,559","          2.34","13,045","5,765","          2.26"
"서울특별시 성동구 마장동(1120054000)","26,084","10,103","          2.58","25,921","10,152","          2.55","25,826","10,358","          2.49"
"서울특별시 성동구 사근동(1120055000)","10,835","5,476","          1.98","10,699","5,579","          1.92","10,746","5,798","          1.85"
"서울특별시 성동구 행당제1동(1120056000)","18,229","7,790","          2.34","18,084","7,676","          2.36","17,998","7,719","          2.33"
"서울특별시 성동구 행당제2동(1120057000)","25,334","8,943","          2.83","24,817","8,728","          2.84","25,996","9,292","          2.80"
"서울특별시 성동구 응봉동(1120058000)","17,693","6,525","          2.71","17,662","6,537","          2.70","17,607","6,628","          2.66"
"서울특별시 성동구 금호1가동(1120059000)","17,526","6,814","          2.57","16,279","6,318","          2.58","16,077","6,293","          2.55"
"서울특별시 성동구 금호2.3가동(1120061500)","23,519","9,564","          2.46","22,533","9,124","          2.47","22,705","9,434","          2.41"
"서울특별시 성동구 금호4가동(1120062000)","15,568","6,510","          2.39","15,326","6,428","          2.38","15,330","6,505","          2.36"
"서울특별시 성동구 옥수동(1120064500)","26,138","10,782","          2.42","24,423","10,019","          2.44","24,358","10,077","          2.42"
"서울특별시 성동구 성수1가제1동(1120065000)","18,690","7,448","          2.51","18,348","7,393","          2.48","18,398","7,487","          2.46"
"서울특별시 성동구 성수1가제2동(1120066000)","19,400","8,253","          2.35","18,989","8,166","          2.33","19,026","8,301","          2.29"
