"행정구역","2011년_총인구수","2011년_세대수","2011년_세대당 인구","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2020년_총인구수","2020년_세대수","2020년_세대당 인구"
"경기도 화성시 (4159000000)","516,765","193,152","          2.68","525,490","196,078","          2.68","530,251","198,368","          2.67","540,862","204,362","          2.65","596,525","226,316","          2.64","640,890","245,921","          2.61","691,086","269,782","          2.56","758,722","301,025","          2.52","815,396","327,797","          2.49","855,248","351,924","          2.43"
"경기도 화성시 봉담읍(4159025300)","64,780","22,573","          2.87","66,545","23,030","          2.89","67,184","23,358","          2.88","67,327","23,667","          2.84","68,539","24,280","          2.82","70,163","25,040","          2.80","74,009","26,756","          2.77","75,066","28,191","          2.66","77,992","30,174","          2.58","81,760","32,656","          2.50"
"경기도 화성시 우정읍(4159025600)","17,025","7,207","          2.36","16,917","7,196","          2.35","17,347","7,394","          2.35","17,904","7,721","          2.32","18,088","7,965","          2.27","18,030","8,152","          2.21","18,107","8,331","          2.17","17,875","8,508","          2.10","17,431","8,467","          2.06","17,382","8,653","          2.01"
"경기도 화성시 향남읍(4159025900)","53,391","20,688","          2.58","56,166","21,834","          2.57","57,059","22,279","          2.56","59,748","23,615","          2.53","67,824","27,406","          2.47","74,856","30,792","          2.43","80,328","34,039","          2.36","82,302","35,429","          2.32","83,112","36,345","          2.29","85,844","38,437","          2.23"
"경기도 화성시 남양읍(4159026200)","0","0","          0.00","","","","","","","24,907","10,542","          2.36","25,663","10,877","          2.36","28,810","12,589","          2.29","32,298","14,313","          2.26","37,495","16,971","          2.21","39,167","18,117","          2.16","41,654","20,051","          2.08"
"경기도 화성시 매송면(4159031000)","9,104","3,789","          2.40","8,930","3,732","          2.39","8,848","3,727","          2.37","8,646","3,686","          2.35","8,382","3,660","          2.29","8,259","3,675","          2.25","8,033","3,640","          2.21","7,682","3,585","          2.14","7,385","3,552","          2.08","7,200","3,583","          2.01"
"경기도 화성시 비봉면(4159032000)","6,246","2,888","          2.16","6,196","2,865","          2.16","6,119","2,826","          2.17","6,059","2,851","          2.13","5,942","2,830","          2.10","5,917","2,850","          2.08","5,920","2,916","          2.03","5,862","2,957","          1.98","5,849","2,979","          1.96","5,854","3,041","          1.93"
"경기도 화성시 마도면(4159033000)","6,122","2,810","          2.18","6,201","2,897","          2.14","6,348","3,048","          2.08","6,458","3,138","          2.06","6,627","3,276","          2.02","6,735","3,363","          2.00","6,760","3,409","          1.98","6,713","3,519","          1.91","6,816","3,718","          1.83","6,890","3,865","          1.78"
"경기도 화성시 송산면(4159034000)","11,326","5,004","          2.26","11,195","4,955","          2.26","11,107","4,984","          2.23","11,103","5,023","          2.21","11,245","5,150","          2.18","11,259","5,222","          2.16","11,235","5,327","          2.11","11,019","5,329","          2.07","10,948","5,353","          2.05","10,908","5,526","          1.97"
"경기도 화성시 서신면(4159035000)","6,966","3,450","          2.02","6,855","3,414","          2.01","6,860","3,405","          2.01","6,974","3,521","          1.98","7,039","3,613","          1.95","7,001","3,698","          1.89","7,117","3,781","          1.88","7,116","3,792","          1.88","7,091","3,845","          1.84","7,126","3,897","          1.83"
