"행정구역","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율"
"서울특별시  (1100000000)","9,598,484","4,400,403","          2.18","4,667,524","4,930,960","          0.95"
"서울특별시 종로구 (1111000000)","147,296","74,113","          1.99","71,644","75,652","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,095","5,237","          2.31","5,619","6,476","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,543","4,787","          1.99","4,275","5,268","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,530","1,259","          2.01","1,211","1,319","          0.92"
"서울특별시 종로구 부암동(1111055000)","9,819","4,294","          2.29","4,690","5,129","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,308","7,532","          2.43","8,518","9,790","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,380","3,075","          2.73","3,907","4,473","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,230","4,468","          2.29","4,729","5,501","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,203","2,019","          2.08","1,952","2,251","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,227","5,279","          1.37","4,320","2,907","          1.49"
"서울특별시 종로구 종로5.6가동(1111063000)","5,264","3,466","          1.52","2,847","2,417","          1.18"
"서울특별시 종로구 이화동(1111064000)","7,399","4,304","          1.72","3,490","3,909","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,711","9,374","          1.78","8,038","8,673","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","5,054","2,930","          1.72","2,718","2,336","          1.16"
"서울특별시 종로구 창신제2동(1111068000)","8,198","4,156","          1.97","4,214","3,984","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,752","2,811","          2.40","3,320","3,432","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","6,041","3,023","          2.00","2,933","3,108","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","9,542","6,099","          1.56","4,863","4,679","          1.04"
"서울특별시 중구 (1114000000)","124,552","63,746","          1.95","60,851","63,701","          0.96"
"서울특별시 중구 소공동(1114052000)","2,143","1,199","          1.79","1,050","1,093","          0.96"
